TransactionAmount,BankName,BIN,Location,DeviceID,Timestamp,IsFraud
46.93,Bank of America,400000,Harrisborough,device_95,2025-02-22 03:10:22,0
301.01,Chase,410000,West Miguelview,device_95,2025-05-17 08:36:29,0
131.67,Capital One,400000,Christopherchester,device_76,2025-02-02 11:50:42,0
91.29,Bank of America,400000,New Cynthiaburgh,device_28,2025-04-15 12:15:51,0
16.96,Capital One,400000,Acostaberg,device_72,2025-02-27 14:46:48,0
16.96,Capital One,430000,Michaelview,device_29,2025-05-13 19:56:23,0
5.98,Wells Fargo,400000,New Jennifer,device_98,2025-01-15 13:38:39,0
201.12,Citibank,420000,Port Tiffanyport,device_36,2025-02-21 21:31:46,0
91.91,Wells Fargo,400000,Adamsview,device_12,2025-02-24 21:52:28,0
123.13,Wells Fargo,420000,North Jennifer,device_78,2025-01-20 15:36:48,0
2.08,Bank of America,430000,East Meganshire,device_69,2025-02-10 23:26:34,0
350.36,Citibank,400000,South Timothy,device_71,2025-01-09 14:12:59,0
178.64,Capital One,420000,Lake Andreaville,device_74,2025-01-27 13:00:24,0
23.87,Bank of America,400000,Williamfort,device_85,2025-02-14 18:18:43,0
20.07,Wells Fargo,400000,East Jeremy,device_30,2025-04-16 18:00:46,0
20.26,Citibank,420000,East Johnstad,device_59,2025-05-12 16:40:04,0
36.28,Wells Fargo,410000,Brianfort,device_48,2025-01-17 06:12:36,0
74.39,Wells Fargo,400000,West Lindsey,device_78,2025-04-12 19:10:38,0
56.55,Capital One,410000,South Davidmouth,device_21,2025-01-21 10:19:08,0
34.42,Wells Fargo,440000,Brightland,device_29,2025-05-24 02:18:49,0
94.64,Bank of America,410000,Davidfurt,device_5,2025-01-03 16:41:58,0
15.02,Citibank,420000,East Julie,device_9,2025-02-23 23:33:20,0
34.55,Capital One,420000,Andrefurt,device_28,2025-01-05 19:25:44,0
45.63,Citibank,430000,Campbellland,device_19,2025-03-31 00:30:36,0
60.89,Chase,440000,East Sharontown,device_69,2025-01-06 22:18:41,0
153.79,Capital One,430000,West Michelle,device_75,2025-04-29 09:26:02,0
22.27,Chase,410000,New Andrealand,device_66,2025-02-25 09:10:31,0
72.2,Bank of America,400000,North Jacobburgh,device_20,2025-01-10 11:08:15,0
89.75,Citibank,440000,Tonyside,device_9,2025-03-03 18:42:01,0
4.76,Capital One,430000,West Kimberlyfort,device_68,2025-04-08 06:54:27,0
93.53,Capital One,400000,West Lisa,device_88,2025-01-05 13:43:18,0
18.7,Capital One,420000,Morsehaven,device_99,2025-05-17 21:46:56,0
6.73,Bank of America,420000,Richardland,device_56,2025-03-16 20:06:23,0
297.37,Bank of America,420000,South Stacy,device_65,2025-05-17 11:20:14,0
337.06,Capital One,400000,New Elizabethborough,device_81,2025-01-25 15:11:59,0
165.23,Capital One,440000,Joneston,device_26,2025-04-27 20:40:18,0
36.33,Chase,440000,Adamport,device_100,2025-04-29 19:09:51,0
10.28,Bank of America,440000,Terryton,device_42,2025-03-29 12:22:03,0
115.28,Bank of America,420000,South Sharon,device_40,2025-01-15 20:49:55,0
58.01,Chase,440000,Lake Joshuamouth,device_11,2025-04-08 22:34:36,0
13.02,Citibank,400000,Michaelberg,device_98,2025-02-11 19:03:57,0
68.35,Chase,410000,New Barbara,device_85,2025-04-08 15:55:39,0
3.5,Capital One,410000,Cooperberg,device_34,2025-05-02 16:02:47,0
240.04,Capital One,430000,Michaelstad,device_28,2025-03-25 00:01:16,0
29.95,Chase,420000,East Briannaview,device_52,2025-02-21 07:31:41,0
108.63,Wells Fargo,430000,North Troy,device_67,2025-03-02 04:56:58,0
37.35,Chase,410000,Aprilshire,device_9,2025-04-10 01:51:01,0
73.41,Capital One,440000,New Todd,device_30,2025-05-18 13:20:35,0
79.12,Bank of America,400000,Lake Nathan,device_91,2025-01-28 05:32:03,0
20.44,Chase,400000,Diamondstad,device_5,2025-04-13 16:51:22,0
349.28,Bank of America,440000,Leahton,device_31,2025-05-07 08:17:07,0
149.22,Citibank,410000,Andrewtown,device_70,2025-03-18 00:19:21,0
280.51,Capital One,440000,Bellchester,device_61,2025-04-28 03:30:46,0
225.22,Citibank,430000,Nielsenmouth,device_25,2025-03-18 16:55:51,0
91.11,Citibank,420000,Larsenborough,device_55,2025-05-18 23:22:03,0
254.94,Bank of America,400000,Russellhaven,device_8,2025-01-12 18:07:11,0
9.27,Wells Fargo,400000,West Josebury,device_32,2025-05-10 08:43:34,0
21.81,Capital One,430000,East Robert,device_18,2025-05-05 04:19:55,0
4.63,Wells Fargo,430000,East Anthony,device_32,2025-01-02 19:09:45,0
39.35,Bank of America,430000,North Josephton,device_71,2025-01-21 15:37:53,0
49.21,Capital One,400000,East Paul,device_12,2025-02-09 14:53:12,0
31.66,Chase,410000,Rossshire,device_53,2025-02-05 23:23:05,0
176.46,Chase,430000,West Anaside,device_8,2025-05-22 00:36:20,0
